日期,活期,一個月,三個月,六個月,九個月,一年,二年,三年
2015/09,0.0015,0.008100000000000001,0.0087,0.010349999999999996,0.011479999999999999,0.01275,0.013000000000000001,0.01315
2015/10,0.0015,0.008100000000000001,0.0087,0.010349999999999996,0.011479999999999999,0.01275,0.013000000000000001,0.01315
2015/11,0.0015,0.008100000000000001,0.0087,0.010349999999999996,0.011479999999999999,0.01275,0.013000000000000001,0.01315
2015/12,0.0013,0.0074,0.008,0.00965,0.010780000000000001,0.01205,0.0123,0.01245
2016/01,0.0013,0.0074,0.008,0.00965,0.010780000000000001,0.01205,0.0123,0.01245
2016/02,0.0013,0.0074,0.008,0.00965,0.010780000000000001,0.01205,0.0123,0.01245
2016/03,0.0011,0.0067,0.0073,0.00895,0.01008,0.01135,0.0116,0.01175
2016/04,0.0011,0.0067,0.0073,0.00895,0.01008,0.01135,0.0116,0.01175
2016/05,0.0011,0.0067,0.0073,0.00895,0.01008,0.01135,0.0116,0.01175
2016/06,0.0011,0.0067,0.0073,0.00895,0.01008,0.01135,0.0116,0.01175
2016/07,0.0008,0.006,0.0066,0.00825,0.00938,0.01065,0.0109,0.011049999999999999
2016/08,0.0008,0.006,0.0066,0.00825,0.00938,0.01065,0.0109,0.011049999999999999
2016/09,0.0008,0.006,0.0066,0.00825,0.00938,0.01065,0.0109,0.011049999999999999
2016/10,0.0008,0.006,0.0066,0.00825,0.00938,0.01065,0.0109,0.011049999999999999
2016/11,0.0008,0.006,0.0066,0.00825,0.00938,0.01065,0.0109,0.011049999999999999
2016/12,0.0008,0.006,0.0066,0.00825,0.00938,0.01065,0.0109,0.011049999999999999
2017/01,0.0008,0.006,0.0066,0.00825,0.00938,0.01065,0.0109,0.011049999999999999
2017/02,0.0008,0.006,0.0066,0.00825,0.00938,0.01065,0.0109,0.011049999999999999
2017/03,0.0008,0.006,0.0066,0.00825,0.00938,0.01065,0.0109,0.011049999999999999
2017/04,0.0008,0.006,0.0066,0.00825,0.00938,0.01065,0.0109,0.011049999999999999
2017/05,0.0008,0.006,0.0066,0.00825,0.00938,0.01065,0.0109,0.011049999999999999
2017/06,0.0008,0.006,0.0066,0.00825,0.00938,0.01065,0.0109,0.011049999999999999
2017/07,0.0008,0.006,0.0066,0.00825,0.00938,0.01065,0.0109,0.011049999999999999
2017/08,0.0008,0.006,0.0066,0.00825,0.00938,0.01065,0.0109,0.011049999999999999
2017/09,0.0008,0.006,0.0066,0.00825,0.00938,0.01065,0.0109,0.011049999999999999
2017/10,0.0008,0.006,0.0066,0.00825,0.00938,0.01065,0.0109,0.011049999999999999
2017/11,0.0008,0.006,0.0066,0.00825,0.00938,0.01065,0.0109,0.011049999999999999
2017/12,0.0008,0.006,0.0066,0.00825,0.00938,0.01065,0.0109,0.011049999999999999
2018/01,0.0008,0.006,0.0066,0.00825,0.00938,0.01065,0.0109,0.011049999999999999
2018/02,0.0008,0.006,0.0066,0.00825,0.00938,0.01065,0.0109,0.011049999999999999
2018/03,0.0008,0.006,0.0066,0.00825,0.00938,0.01065,0.0109,0.011049999999999999
2018/04,0.0008,0.006,0.0066,0.00825,0.00938,0.01065,0.0109,0.011049999999999999
2018/05,0.0008,0.006,0.0066,0.00825,0.00938,0.01065,0.0109,0.011049999999999999
2018/06,0.0008,0.006,0.0066,0.00825,0.00938,0.01065,0.0109,0.011049999999999999
2018/07,0.0008,0.006,0.0066,0.00825,0.00938,0.01065,0.0109,0.011049999999999999
2018/08,0.0008,0.006,0.0066,0.00825,0.00938,0.01065,0.0109,0.011049999999999999
2018/09,0.0008,0.006,0.0066,0.00825,0.00938,0.01065,0.0109,0.011049999999999999
2018/10,0.0008,0.006,0.0066,0.00825,0.00938,0.01065,0.0109,0.011049999999999999
2018/11,0.0008,0.006,0.0066,0.00825,0.00938,0.01065,0.0109,0.011049999999999999
2018/12,0.0008,0.006,0.0066,0.00825,0.00938,0.01065,0.0109,0.011049999999999999
2019/01,0.0008,0.006,0.0066,0.00825,0.00938,0.01065,0.0109,0.011049999999999999
2019/02,0.0008,0.006,0.0066,0.00825,0.00938,0.01065,0.0109,0.011049999999999999
2019/03,0.0008,0.006,0.0066,0.00825,0.00938,0.01065,0.0109,0.011049999999999999
2019/04,0.0008,0.006,0.0066,0.00825,0.00938,0.01065,0.0109,0.011049999999999999
2019/05,0.0008,0.006,0.0066,0.00825,0.00938,0.01065,0.0109,0.011049999999999999
2019/06,0.0008,0.006,0.0066,0.00825,0.00938,0.01065,0.0109,0.011049999999999999
2019/07,0.0008,0.006,0.0066,0.00825,0.00938,0.01065,0.0109,0.011049999999999999
2019/08,0.0008,0.006,0.0066,0.00825,0.00938,0.01065,0.0109,0.011049999999999999
2019/09,0.0008,0.006,0.0066,0.00825,0.00938,0.01065,0.0109,0.011049999999999999
2019/10,0.0008,0.006,0.0066,0.00825,0.00938,0.01065,0.0109,0.011049999999999999
2019/11,0.0008,0.006,0.0066,0.00825,0.00938,0.01065,0.0109,0.011049999999999999
2019/12,0.0008,0.006,0.0066,0.00825,0.00938,0.01065,0.0109,0.011049999999999999
2020/01,0.0008,0.006,0.0066,0.00825,0.00938,0.01065,0.0109,0.011049999999999999
2020/02,0.0008,0.006,0.0066,0.00825,0.00938,0.01065,0.0109,0.011049999999999999
2020/03,0.00033999999999999997,0.0034999999999999996,0.0040999999999999995,0.00575,0.00688,0.008149999999999998,0.00827,0.008299999999999998
2020/04,0.00033999999999999997,0.0034999999999999996,0.0040999999999999995,0.00575,0.00688,0.008149999999999998,0.00827,0.008299999999999998
2020/05,0.00033999999999999997,0.0034999999999999996,0.0040999999999999995,0.00575,0.00688,0.008149999999999998,0.00827,0.008299999999999998
2020/06,0.00033999999999999997,0.0034999999999999996,0.0040999999999999995,0.00575,0.00688,0.008149999999999998,0.00827,0.008299999999999998
2020/07,0.00033999999999999997,0.0034999999999999996,0.0040999999999999995,0.00575,0.00688,0.008149999999999998,0.00827,0.008299999999999998
2020/08,0.00033999999999999997,0.0034999999999999996,0.0040999999999999995,0.00575,0.00688,0.008149999999999998,0.00827,0.008299999999999998
2020/09,0.00033999999999999997,0.0034999999999999996,0.0040999999999999995,0.00575,0.00688,0.008149999999999998,0.00827,0.008299999999999998
2020/10,0.00033999999999999997,0.0034999999999999996,0.0040999999999999995,0.00575,0.00688,0.008149999999999998,0.00827,0.008299999999999998
2020/11,0.00033999999999999997,0.0034999999999999996,0.0040999999999999995,0.00575,0.00688,0.008149999999999998,0.00827,0.008299999999999998
2020/12,0.00033999999999999997,0.0034999999999999996,0.0040999999999999995,0.00575,0.00688,0.008149999999999998,0.00827,0.008299999999999998
2021/01,0.00033999999999999997,0.0034999999999999996,0.0040999999999999995,0.00575,0.00688,0.008149999999999998,0.00827,0.008299999999999998
2021/02,0.00033999999999999997,0.0034999999999999996,0.0040999999999999995,0.00575,0.00688,0.008149999999999998,0.00827,0.008299999999999998
2021/03,0.00033999999999999997,0.0034999999999999996,0.0040999999999999995,0.00575,0.00688,0.008149999999999998,0.00827,0.008299999999999998
2021/04,0.00033999999999999997,0.0034999999999999996,0.0040999999999999995,0.00575,0.00688,0.008149999999999998,0.00827,0.008299999999999998
2021/05,0.00033999999999999997,0.0034999999999999996,0.0040999999999999995,0.00575,0.00688,0.008149999999999998,0.00827,0.008299999999999998
2021/06,0.00033999999999999997,0.0034999999999999996,0.0040999999999999995,0.00575,0.00688,0.008149999999999998,0.00827,0.008299999999999998
2021/07,0.00033999999999999997,0.0034999999999999996,0.0040999999999999995,0.00575,0.00688,0.008149999999999998,0.00827,0.008299999999999998
2021/08,0.00033999999999999997,0.0034999999999999996,0.0040999999999999995,0.00575,0.00688,0.008149999999999998,0.00827,0.008299999999999998
2021/09,0.00033999999999999997,0.0034999999999999996,0.0040999999999999995,0.00575,0.00688,0.008149999999999998,0.00827,0.008299999999999998
2021/10,0.00033999999999999997,0.0034999999999999996,0.0040999999999999995,0.00575,0.00688,0.008149999999999998,0.00827,0.008299999999999998
2021/11,0.00033999999999999997,0.0034999999999999996,0.0040999999999999995,0.00575,0.00688,0.008149999999999998,0.00827,0.008299999999999998
2021/12,0.00033999999999999997,0.0034999999999999996,0.0040999999999999995,0.00575,0.00688,0.008149999999999998,0.00827,0.008299999999999998
2022/01,0.00033999999999999997,0.0034999999999999996,0.0040999999999999995,0.00575,0.00688,0.008149999999999998,0.00827,0.008299999999999998
2022/02,0.00033999999999999997,0.0034999999999999996,0.0040999999999999995,0.00575,0.00688,0.008149999999999998,0.00827,0.008299999999999998
2022/03,0.0008,0.006,0.0066,0.00825,0.00938,0.01065,0.01084,0.01089
2022/04,0.0008,0.006,0.0066,0.00825,0.00938,0.01065,0.01084,0.01089
2022/05,0.0008,0.006,0.0066,0.00825,0.00938,0.01065,0.01084,0.01089
2022/06,0.0020499999999999997,0.0072499999999999995,0.007850000000000001,0.0095,0.010629999999999999,0.011899999999999999,0.0121,0.012150000000000001
2022/07,0.0020499999999999997,0.0072499999999999995,0.007850000000000001,0.0095,0.010629999999999999,0.011899999999999999,0.0121,0.012150000000000001
2022/08,0.0020499999999999997,0.0072499999999999995,0.007850000000000001,0.0095,0.010629999999999999,0.011899999999999999,0.0121,0.012150000000000001
2022/09,0.0033,0.0085,0.009099999999999999,0.01075,0.01188,0.01315,0.01337,0.013420000000000001
2022/10,0.0033,0.0085,0.009099999999999999,0.01075,0.01188,0.01315,0.01337,0.013420000000000001
2022/11,0.0033,0.0085,0.009099999999999999,0.01075,0.01188,0.01315,0.01337,0.013420000000000001
2022/12,0.004549999999999999,0.00975,0.01035,0.012,0.01313,0.0144,0.01462,0.01467
2023/01,0.004549999999999999,0.00975,0.01035,0.012,0.01313,0.0144,0.01462,0.01467
2023/02,0.004549999999999999,0.00975,0.01035,0.012,0.01313,0.0144,0.01462,0.01467
2023/03,0.0058,0.011000000000000001,0.0116,0.01325,0.014379999999999999,0.015669999999999996,0.015870000000000002,0.01594
2023/04,0.0058,0.011000000000000001,0.0116,0.01325,0.014379999999999999,0.015669999999999996,0.015870000000000002,0.01594
2023/05,0.0058,0.011000000000000001,0.0116,0.01325,0.014379999999999999,0.015669999999999996,0.015870000000000002,0.01594
2023/06,0.0058,0.011000000000000001,0.0116,0.01325,0.014379999999999999,0.015669999999999996,0.015870000000000002,0.01594
2023/07,0.0058,0.011000000000000001,0.0116,0.01325,0.014379999999999999,0.015669999999999996,0.015870000000000002,0.01594
2023/08,0.0058,0.011000000000000001,0.0116,0.01325,0.014379999999999999,0.015669999999999996,0.015870000000000002,0.01594
2023/09,0.0058,0.011000000000000001,0.0116,0.01325,0.014379999999999999,0.015669999999999996,0.015870000000000002,0.01594
2023/10,0.0058,0.011000000000000001,0.0116,0.01325,0.014379999999999999,0.015669999999999996,0.015870000000000002,0.01594
2023/11,0.0058,0.011000000000000001,0.0116,0.01325,0.014379999999999999,0.015669999999999996,0.015870000000000002,0.01594
2023/12,0.0058,0.011000000000000001,0.0116,0.01325,0.014379999999999999,0.015669999999999996,0.015870000000000002,0.01594
2024/01,0.0058,0.011000000000000001,0.0116,0.01325,0.014379999999999999,0.015669999999999996,0.015870000000000002,0.01594
