交易日期,到期日期,履約價,買賣權,成交量,收盤價,結算價,期貨成交量,期貨開盤價,期貨最高價,期貨最低價,期貨收盤價,期貨結算價,到期天數,無風險利率,隱含波動率(結算價),隱含波動率(收盤價)
2014/01/27,2014/09/17,9200.0,call,189,54.0,54.0,151,8200,8212,8124,8124,8125,233,0.0110499999999999,0.13268598305527454,0.13278099308387475
2014/01/27,2014/09/17,9400.0,call,255,33.5,33.5,151,8200,8212,8124,8124,8125,233,0.0110499999999999,0.13070013844919814,0.1307853988584092
2014/01/27,2014/09/17,9600.0,call,320,22.0,22.0,151,8200,8212,8124,8124,8125,233,0.0110499999999999,0.13147684761329004,0.1315550865290316
2014/01/27,2014/09/17,9800.0,call,130,11.0,11.0,151,8200,8212,8124,8124,8125,233,0.0110499999999999,0.126260402420261,0.1263302989044954
2014/01/27,2014/09/17,10000.0,call,41,6.7,6.7,151,8200,8212,8124,8124,8125,233,0.0110499999999999,0.12671889240872172,0.12678379832097422
2014/02/05,2014/09/17,6600.0,put,1042,43.5,43.5,145,7990,7990,7878,7913,7913,224,0.0110499999999999,0.1760213739347449,0.1760213739347449
2014/02/05,2014/09/17,6800.0,put,319,62.0,62.0,145,7990,7990,7878,7913,7913,224,0.0110499999999999,0.1703263616238001,0.1703263616238001
2014/02/05,2014/09/17,7000.0,put,376,88.0,88.0,145,7990,7990,7878,7913,7913,224,0.0110499999999999,0.16525770458121017,0.16525770458121017
2014/02/05,2014/09/17,7200.0,put,1114,126.0,126.0,145,7990,7990,7878,7913,7913,224,0.0110499999999999,0.16203305934399673,0.16203305934399673
2014/02/05,2014/09/17,7400.0,put,516,179.0,179.0,145,7990,7990,7878,7913,7913,224,0.0110499999999999,0.16037075960281677,0.16037075960281677
2014/02/05,2014/09/17,7600.0,put,191,242.0,242.0,145,7990,7990,7878,7913,7913,224,0.0110499999999999,0.15679659842883945,0.15679659842883945
2014/02/05,2014/09/17,7800.0,put,109,325.0,325.0,145,7990,7990,7878,7913,7913,224,0.0110499999999999,0.1552880409546024,0.1552880409546024
2014/02/05,2014/09/17,8000.0,call,38,345.0,336.0,145,7990,7990,7878,7913,7913,224,0.0110499999999999,0.1529925306222916,0.15665815690650445
2014/02/05,2014/09/17,8000.0,put,122,412.0,412.0,145,7990,7990,7878,7913,7913,224,0.0110499999999999,0.148751278316073,0.148751278316073
2014/02/05,2014/09/17,8400.0,call,36,169.0,169.0,145,7990,7990,7878,7913,7913,224,0.0110499999999999,0.14245624472085097,0.14245624472085097
2014/02/05,2014/09/17,8600.0,call,427,129.0,129.0,145,7990,7990,7878,7913,7913,224,0.0110499999999999,0.14673211614945159,0.14673211614945159
2014/02/05,2014/09/17,8800.0,call,324,85.0,85.0,145,7990,7990,7878,7913,7913,224,0.0110499999999999,0.1428911749653725,0.1428911749653725
2014/02/05,2014/09/17,9000.0,call,433,55.0,55.0,145,7990,7990,7878,7913,7913,224,0.0110499999999999,0.14047727788355163,0.14047727788355163
2014/02/05,2014/09/17,9200.0,call,196,36.0,36.0,145,7990,7990,7878,7913,7913,224,0.0110499999999999,0.13996167385402755,0.13996167385402755
2014/02/05,2014/09/17,9400.0,call,175,25.5,25.5,145,7990,7990,7878,7913,7913,224,0.0110499999999999,0.14263985749764682,0.14263985749764682
2014/02/05,2014/09/17,9600.0,call,701,17.5,17.5,145,7990,7990,7878,7913,7913,224,0.0110499999999999,0.14436086679467966,0.14436086679467966
2014/02/05,2014/09/17,9800.0,call,219,10.0,10.0,145,7990,7990,7878,7913,7913,224,0.0110499999999999,0.14170251993714356,0.14170251993714356
2014/02/05,2014/09/17,10000.0,call,84,6.0,6.0,145,7990,7990,7878,7913,7913,224,0.0110499999999999,0.14107157041038645,0.14107157041038645
2014/02/06,2014/09/17,6600.0,put,165,39.5,39.5,101,7950,7959,7920,7946,7946,223,0.0110499999999999,0.17490788020028816,0.17490788020028816
2014/02/06,2014/09/17,6800.0,put,110,56.0,56.0,101,7950,7959,7920,7946,7946,223,0.0110499999999999,0.1686504404943734,0.1686504404943734
2014/02/06,2014/09/17,7000.0,put,78,86.0,86.0,101,7950,7959,7920,7946,7946,223,0.0110499999999999,0.16770382935802838,0.16770382935802838
2014/02/06,2014/09/17,7200.0,put,1195,117.0,117.0,101,7950,7959,7920,7946,7946,223,0.0110499999999999,0.16107261100190814,0.16107261100190814
2014/02/06,2014/09/17,7400.0,put,68,166.0,166.0,101,7950,7959,7920,7946,7946,223,0.0110499999999999,0.15866700958866403,0.15866700958866403
2014/02/06,2014/09/17,7600.0,put,95,230.0,230.0,101,7950,7959,7920,7946,7946,223,0.0110499999999999,0.15679383584649106,0.15679383584649106
2014/02/06,2014/09/17,7800.0,put,45,303.0,303.0,101,7950,7959,7920,7946,7946,223,0.0110499999999999,0.15223923490394412,0.15223923490394412
2014/02/06,2014/09/17,8000.0,put,91,396.0,396.0,101,7950,7959,7920,7946,7946,223,0.0110499999999999,0.14933144833122336,0.14933144833122336
2014/02/06,2014/09/17,8200.0,put,497,497.0,497.0,101,7950,7959,7920,7946,7946,223,0.0110499999999999,0.14275977050516872,0.14275977050516872
2014/02/06,2014/09/17,8400.0,call,42,176.0,176.0,101,7950,7959,7920,7946,7946,223,0.0110499999999999,0.14117075233147716,0.14117075233147716
2014/02/06,2014/09/17,8600.0,call,86,120.0,120.0,101,7950,7959,7920,7946,7946,223,0.0110499999999999,0.13827087706142377,0.13827087706142377
2014/02/06,2014/09/17,8800.0,call,101,80.0,80.0,101,7950,7959,7920,7946,7946,223,0.0110499999999999,0.13647550626187033,0.13647550626187033
2014/02/06,2014/09/17,9000.0,call,105,54.0,54.0,101,7950,7959,7920,7946,7946,223,0.0110499999999999,0.13674045068500712,0.13674045068500712
2014/02/06,2014/09/17,9200.0,call,274,36.0,36.0,101,7950,7959,7920,7946,7946,223,0.0110499999999999,0.13728869509997751,0.13728869509997751
2014/02/06,2014/09/17,9400.0,call,257,23.0,23.0,101,7950,7959,7920,7946,7946,223,0.0110499999999999,0.13707724984651143,0.13707724984651143
2014/02/06,2014/09/17,9600.0,call,38,16.0,16.0,101,7950,7959,7920,7946,7946,223,0.0110499999999999,0.1396820166786004,0.1396820166786004
2014/02/06,2014/09/17,9800.0,call,50,9.9,9.3,101,7950,7959,7920,7946,7946,223,0.0110499999999999,0.1380009197451167,0.13942810274414646
2014/02/06,2014/09/17,10000.0,call,38,5.5,5.5,101,7950,7959,7920,7946,7946,223,0.0110499999999999,0.13745358867159516,0.13745358867159516
